id,title,description,place,city,address,date_start,date_end,tags,url
17055732,Habitats participatifs : l'architecte et les habitant.es en interaction,L’exposition montrent de nouvelle manière de « vivre ensemble » et témoignent de l’engagement d’architectes dans la co-élaboration et/ou la co-construction d’habitats participatifs.,Maison de l'Architecture de l'Isère,Grenoble,"4 place de Berulle, 38000 Grenoble",2025-03-25T12:30:00+00:00,2025-05-23T16:00:00+00:00,"architecture, architecture participative, habitats partagés, vivre ensemble, maison architecture, collaboratifs, habitants, exposition, projets, habitats groupé, habiter, co-construit, participation habitante",https://openagenda.com/planlibre/events/habitats-participatifs-larchitecte-et-les-habitanttes-en-interaction
32698093,Mai à Vélo 2025,Faites parcourir à votre communauté le plus de kilomètres au mois de mai ! Retrouvez tous les classements sur https://challenge-maiavelo.geovelo.fr/,ASCET 38,Grenoble,"Boulevard Joseph Vallier, 38100 Grenoble, France",2025-04-30T22:00:00+00:00,2025-05-31T21:59:59+00:00,challenge-id=115625,https://openagenda.com/maiavelo/events/mai-a-velo-2025-796326
52267050,Week-end Rigodon !,"le premier weekend de mai, c'est LE weekend des rigodons à Grenoble.",Gymnase de la Correspondance,Grenoble,"30 bis, Avenue Marcelin Berthelot 38100 grenoble",2025-05-03T12:00:00+00:00,2025-05-04T15:00:00+00:00,,https://openagenda.com/pci-auvergne-rhone-alpes/events/week-end-rigodon
77756640,Vélotaf ARYBALLE,15 jours pour favoriser l'utilisation du vélo pour aller au travail,ARYBALLE,Grenoble,Grenoble,2025-05-12T07:00:00+00:00,2025-05-12T16:00:00+00:00,,https://openagenda.com/maiavelo/events/velotaf-aryballe
96496492,Café d'Archi,"La Maison de l'Architecture de l'Isère organise un Café d'Archi en lien avec son exposition ""Habitats participatifs : l'architecte et les habitant-es en interaction""",Maison de l'Architecture de l'Isère,Grenoble,"4 place de Berulle, 38000 Grenoble",2025-05-13T16:30:00+00:00,2025-05-13T19:30:00+00:00,"cafédarchi, architecture, habitats participatifs, habitant, architecte, projet, vivre ensemble, agences architectures, maisonarchitecture, maisonarchitectureisère",https://openagenda.com/planlibre/events/cafe-darchi-3969435
42944481,"Hommage aux déracinés, vivre sans arbre généalogique",Une déambulation pour rendre hommage aux premiers Arméniens arrivés à St Martin d'Hères dans les années trente avec la participation de la chanteuse arménienne Anna Izmayilyan.,Devant Eglise St Martin,Saint-Martin-d'Hères,150 avenue de la Galochère - 38400 St Martin d'Hères (38,2025-05-16T08:30:00+00:00,2025-05-18T16:00:00+00:00,,https://openagenda.com/printemps-des-cimetieres-2025/events/hommage-aux-deracines-vivre-sans-arbre-genealogique
27136998,"Halte là … les montagnards sont là !, visite guidée par Mao Tourmen","La conquête et la découverte de la montagne racontées, à travers le destin de ceux et celles qui l'ont défiée, arpentée, parcourue au risque de leur vie ou peinte et chantée pour la sublimer.",Cimetière Saint-Roch de Grenoble,Grenoble,rue du Souvenir- 38000 Grenoble,2025-05-17T08:15:00+00:00,2025-05-17T09:45:00+00:00,,https://openagenda.com/printemps-des-cimetieres-2025/events/halte-la-les-montagnards-sont-la-par-mao-tourmen
53851330,Animations médiévales,Les animations programmées ont lieu aux horaires mentionnés le samedi et le dimanche,Ancien évêché,Grenoble,"11B Rue du Vieux Temple, 38000 Grenoble, France",2025-05-17T09:00:00+00:00,2025-05-17T19:00:00+00:00,,https://openagenda.com/ndm-2025-auvergne-rhone-alpes/events/animations-medievales-9342850
82732730,Exposition - À l’assaut des châteaux forts ! Les archéologues racontent,"À la lumière de 50 ans de recherches archéologiques conduites sur les fortifications en Isère, le Musée de l’Ancien Evêché propose d’aller à l’encontre d’un certain nombre d’idées reçues sur le châte…",Ancien évêché,Grenoble,"11B Rue du Vieux Temple, 38000 Grenoble, France",2025-05-17T09:00:00+00:00,2025-05-17T19:00:00+00:00,,https://openagenda.com/ndm-2025-auvergne-rhone-alpes/events/exposition-a-lassaut-des-chateaux-forts-les-archeologues-racontent
14139572,L’Atelier des sols vivants,Un outil ludique et pédagogique basé sur l’intelligence collective qui vise à mieux comprendre le fonctionnement des sols et les enjeux liés à leur préservation. Animé par Kathy Barla.,Muséum de Grenoble,Grenoble,"1 Rue Dolomieu, 38000 Grenoble, France",2025-05-17T12:30:00+00:00,2025-05-17T13:30:00+00:00,,https://openagenda.com/ndm-2025-auvergne-rhone-alpes/events/latelier-des-sols-vivants-5419267
38268197,"A la découverte des monuments remarquables du XIXe siècle, par Monique Bonvallet",Circuit découverte le long des allées les plus anciennes du cimetière Saint-Roch où se trouvent les tombes remarquables des personnalités qui ont marqué la vie grenobloise au XIXe siècle.,Cimetière Saint-Roch de Grenoble,Grenoble,rue du Souvenir- 38000 Grenoble,2025-05-17T12:30:00+00:00,2025-05-17T14:30:00+00:00,,https://openagenda.com/printemps-des-cimetieres-2025/events/a-la-decouverte-des-monuments-remarquables-du-xixe-siecle-par-monique-bonvallet
27348744,Visite du Fab Lab de La Casemate,"Dans le cadre de Musée en Fête, venez découvrir le Laboratoire de Fabrication, aussi, appelé Fab Lab, de La Casemate, sa philosophie, ses machines et son fonctionnement accompagné par l’un de nos Fab…",La Casemate - CCSTI de Grenoble,Grenoble,2 place saint-laurent 38000 Grenoble,2025-05-17T12:30:00+00:00,2025-05-17T15:00:00+00:00,,https://openagenda.com/ndm-2025-auvergne-rhone-alpes/events/visite-du-fab-lab-de-la-casemate-7410485
33002674,Quiz : Connaissez-vous vraiment le Muséum de Grenoble ?,"Les scientifiques, la biodiversité, des anecdotes improbables, un bâtiment chargé d’histoire et un jardin où même les plantes chuchotent des secrets… Êtes-vous sûr de tout savoir ? Laissez-vous avec…",Muséum de Grenoble,Grenoble,"1 Rue Dolomieu, 38000 Grenoble, France",2025-05-17T12:30:00+00:00,2025-05-17T14:30:00+00:00,,https://openagenda.com/ndm-2025-auvergne-rhone-alpes/events/quiz-connaissez-vous-vraiment-le-museum-de-grenoble
66175292,Atelier Mobile - Contrôle technique,"Atelier mobile installé pendant une fête de quartier, pour proposer un contrôle technique vélo et des réglages, réparations faciles.",Parc des Templiers,Échirolles,allée de la tonnellerie echirolles,2025-05-17T12:30:00+00:00,2025-05-17T16:00:00+00:00,,https://openagenda.com/maiavelo/events/atelier-mobile-controle-technique
79113550,Les mamans conteuses,Les « Mamco » racontent des histoires autour de la biodiversité à l’auditorium.,Muséum de Grenoble,Grenoble,"1 Rue Dolomieu, 38000 Grenoble, France",2025-05-17T13:00:00+00:00,2025-05-17T16:00:00+00:00,,https://openagenda.com/ndm-2025-auvergne-rhone-alpes/events/les-mamans-conteuses
56364035,Quelle graine !,"Pour fêter le printemps, la salle Bout'choux ouvre ses portes aux plus petits pour une découverte sensorielle des graines : ici, on touche, on devine, on observe, on crée ! Les graines n’auront pas…",Muséum de Grenoble,Grenoble,"1 Rue Dolomieu, 38000 Grenoble, France",2025-05-17T13:00:00+00:00,2025-05-17T14:00:00+00:00,,https://openagenda.com/ndm-2025-auvergne-rhone-alpes/events/quelle-graine
93580836,Atelier famille - De la couleur à l'enluminure,Quand les textes et les documents dévoilent l’art de l’enluminure… car écrire c’est aussi dessiner ! Jeux de couleurs et de feuille d’or sont au programme de cet atelier où vous réaliserez votre enlu…,Ancien évêché,Grenoble,"11B Rue du Vieux Temple, 38000 Grenoble, France",2025-05-17T13:00:00+00:00,2025-05-17T15:00:00+00:00,,https://openagenda.com/ndm-2025-auvergne-rhone-alpes/events/atelier-famille-de-la-couleur-a-lenluminure
67154187,La Nuit des ordis,Vous souhaitez savoir comment l'informatique a été créée ? A quoi ressemblait un ordinateur en 1950 ?,ACONIT - Musée de l'informatique,Grenoble,"12, rue Joseph Rey - Grenoble",2025-05-17T14:00:00+00:00,2025-05-17T20:30:00+00:00,,https://openagenda.com/ndm-2025-auvergne-rhone-alpes/events/la-nuit-des-ordis
68620310,Visite guidée des serres,"Les serres seront exceptionnellement ouvertes, illuminées par vos lampes de poche et sonorisées à cette occasion jusqu’à 22h. Découverte de la collection botanique. Par Sylvain Poletti.",Muséum de Grenoble,Grenoble,"1 Rue Dolomieu, 38000 Grenoble, France",2025-05-17T15:00:00+00:00,2025-05-17T20:00:00+00:00,,https://openagenda.com/ndm-2025-auvergne-rhone-alpes/events/visite-des-serres-8092231
44183218,Visites flash du cabinet Rembrandt,Découvrez en 20 minutes l’essentiel du cabinet Rembrandt et de son focus consacré aux animaux gravés.,Cabinet Rembrandt,Grenoble,37 rue Servan 38000 GRENOBLE,2025-05-17T15:30:00+00:00,2025-05-17T17:00:00+00:00,,https://openagenda.com/ndm-2025-auvergne-rhone-alpes/events/visites-flash-du-cabinet-rembrandt
9928853,Parenthèses nocturnes,"Sous les sarments de vigne de la treille ou dans le décor feutré de l’appartement où Stendhal a grandi, plongez dans l’histoire, la vie et l’œuvre d’un des plus grands écrivains français du 19e siècl…",Musée Stendhal,Grenoble,"20 Grand Rue, 38000 Grenoble, France",2025-05-17T16:00:00+00:00,2025-05-17T20:00:00+00:00,,https://openagenda.com/ndm-2025-auvergne-rhone-alpes/events/parentheses-nocturnes
16415031,"Visites flash de l'exposition ""Loustal, les Alpes au fil de l'autoroute""","Auteur de carnets de voyages, Jacques de Loustal a reçu une commande de la société APRR pour la réalisation de panneaux touristiques et culturels sur les autoroutes qui traversent la Savoie, la et la…",Cabinet Rembrandt,Grenoble,37 rue Servan 38000 GRENOBLE,2025-05-17T16:00:00+00:00,2025-05-17T17:30:00+00:00,,https://openagenda.com/ndm-2025-auvergne-rhone-alpes/events/visite-flash-de-lexposition-loustal-les-alpes-au-fil-de-lautoroute
3233903,Les ateliers de la création,"Les Ateliers de la création, initiés par le Centre Pompidou et l’Ircam, et portés par le Grame (Centre national de création musicale – Lyon) ouvrent grand les portes de la création contemporaine aux …",Musée de Grenoble,Grenoble,"5 Pl. de Lavalette, 38000 Grenoble, France",2025-05-17T17:00:00+00:00,2025-05-17T21:00:00+00:00,,https://openagenda.com/ndm-2025-auvergne-rhone-alpes/events/les-ateliers-de-la-creation-8200718
27929272,Visite guidée - À l’assaut des châteaux forts ! Les archéologues racontent,"Partez à la découverte de l'exposition ""À l'assaut des châteaux forts ! Les archéologues racontent"" en compagnie d'Anouk Clavier, archéologue, ancienne conservatrice du patrimoine au Département de l…",Ancien évêché,Grenoble,"11B Rue du Vieux Temple, 38000 Grenoble, France",2025-05-17T17:30:00+00:00,2025-05-17T18:30:00+00:00,,https://openagenda.com/ndm-2025-auvergne-rhone-alpes/events/visite-guidee-a-lassaut-des-chateaux-forts-les-archeologues-racontent
72932549,Sur la piste des animaux de la nuit,"Insectes, araignées, oiseaux ou chauves-souris, ils sont nombreux à s’agiter une fois le soleil couché... Même en ville ! Entre ombre et lumière, laissez-vous surprendre par les petits habitants du…",Muséum de Grenoble,Grenoble,"1 Rue Dolomieu, 38000 Grenoble, France",2025-05-17T18:00:00+00:00,2025-05-17T21:00:00+00:00,,https://openagenda.com/ndm-2025-auvergne-rhone-alpes/events/sur-la-piste-des-animaux-de-la-nuit
87916923,Visite nocturne,"À la lueur de votre lampe de poche ou frontale, une découverte du Muséum insolite et dans le noir.",Muséum de Grenoble,Grenoble,"1 Rue Dolomieu, 38000 Grenoble, France",2025-05-17T20:00:00+00:00,2025-05-17T21:30:00+00:00,,https://openagenda.com/ndm-2025-auvergne-rhone-alpes/events/visite-nocturne-8796328
77092772,Fidèles au poste !,"Balade théâtrale au cimetière Saint-Roch, créée dans le cadre des 80 ans de la Libération et jouée par la troupe Palindrome avec de jeunes comédiens amateurs en hommage aux jeunes résistants.",Cimetière Saint-Roch de Grenoble,Grenoble,rue du Souvenir- 38000 Grenoble,2025-05-18T13:00:00+00:00,2025-05-18T14:00:00+00:00,,https://openagenda.com/printemps-des-cimetieres-2025/events/fideles-au-poste
42314194,Matinée d'information : les financements européens pour les PME innovantes,Événement La French Tech,Baslique du Sacré Coeur,Grenoble,"4, rue Emile Gueymard 38000 Grenoble",2025-05-20T07:30:00+00:00,2025-05-20T11:30:00+00:00,,https://openagenda.com/francenum/events/matinee-dinformation-les-financements-europeens-pour-les-pme-innovantes-5599756
